Rank  Name                               Rating
726.    Ismail El Shafei                   74.312 
727.    Steve Johnson                      74.234 
728.    Nicklas Kroon                      74.219 
729.    Guillaume Raoux                    74.141 
730.    Gregoire Barrere                   74.078 
731.    Franco Agamenone                   74.037 
732.    Filip Misolic                      73.812 
733.    Antonio Munoz                      73.739 
734.    Shuzo Matsuoka                     73.412 
735.    Yuri Schukin                       73.379 
736.    Juan Ignacio Chela                 73.326 
737.    Lukas Rosol                        73.024 
738.    Gaetano Di Maso                    72.997 
739.    Lukasz Kubot                       72.984 
740.    G D Jones                          72.978 
741.    Dominik Hrbaty                     72.812 
742.    Ken Flach                          72.612 
743.    Ivan Molina                        72.549 
744.    David Wheaton                      72.539 
745.    Leif Shiras                        72.483 
746.    Paul Kronk                         72.427 
747.    Jonathan Stark                     72.246 
748.    Bryan Juinio                       72.169 
749.    Alberto Tous                       72.146 
750.    Jesse Levine                       72.056 
751.    Marius Copil                       71.986 
752.    Wally Masur                        71.976 
753.    Terry Addison                      71.822 
754.    John Frawley                       71.772 
755.    Ricki Osterthun                    71.645 
756.    Lloyd Harris                       71.636 
757.    Mikael Pernfors                    71.633 
758.    Sean Sorensen                      71.604 
759.    Todd Reid                          71.523 
760.    Gilles Ganancia                    71.204 
761.    Daniel King Turner                 70.854 
762.    Janez Semrajc                      70.815 
763.    Eric Winogradsky                   70.724 
764.    Frew Mcmillan                      70.711 
765.    Thierry Pham                       70.638 
766.    Sergio Galdos                      70.563 
